Game,TrialNumber,SubjID,Load,FrameAveraging,FPS,NumberOfFrames,AverageValError,BestScore
Asterix,160,R,0,FALSE,20,15515,0.45,95500
Asterix,162,R,0,FALSE,20,15683,0.41,84500
Asterix,163,R,0,FALSE,20,15980,0.54,99000
Asterix,213,R,0,FALSE,20,15093,0.4,88000
Asterix,243,R,0,FALSE,20,15568,0.25,106500
Asterix,246,R,243,FALSE,20,11616,0.55,331000
Asterix,260,R,246,FALSE,20,11557,0.38,537500
Asterix,167,J,0,FALSE,20,16172,0.31,105500
Asterix,168,J,0,FALSE,20,17261,0.28,130500
Asterix,171,J,0,FALSE,20,17697,0.45,135000
,,,,,,,,
Berzerk,208,R,0,FALSE,20,14519,0.44,5300
Berzerk,211,R,0,FALSE,20,15695,0.35,6400
Berzerk,219,R,0,FALSE,20,15373,0.29,5860
Berzerk,191,J,0,FALSE,20,17180,0.44,4550
Berzerk,192,J,0,FALSE,20,16885,0.37,6540
,,,,,,,,
Breakout,58,R,0,TRUE,20,14858,0.44,344
Breakout,73,R,0,TRUE,20,14425,0.52,436
Breakout,92,R,0,TRUE,20,14325,0.42,424
Breakout,112,R,0,TRUE,20,13783,0.31,413
Breakout,138,J,0,TRUE,20,17135,0.55,438
Breakout,140,J,0,TRUE,20,17708,0.34,414
Breakout,153,J,0,TRUE,20,17897,0.36,402
Breakout,132,K,0,TRUE,20,17439,0.38,416
Breakout,134,K,0,TRUE,20,17844,0.41,408
Breakout,198,R,0,FALSE,20,13938,0.49,425
Breakout,205,R,0,FALSE,20,14772,0.43,547
Breakout,218,R,0,FALSE,20,13704,0.37,554
,,,,,,,,
Centipede,53,R,0,TRUE,20,16170,0.35,41717
Centipede,60,R,0,TRUE,20,15303,0.31,44392
Centipede,69,R,0,TRUE,20,15558,0.43,36461
Centipede,78,R,0,TRUE,20,17086,0.36,45136
Centipede,80,R,0,TRUE,20,16967,0.34,44766
Centipede,88,R,0,TRUE,20,16687,0.33,53311
Centipede,94,R,0,TRUE,20,16876,0.61,53782
Centipede,97,R,0,TRUE,20,16610,0.44,49307
Centipede,143,J,0,TRUE,20,17128,0.2,18853
Centipede,144,J,0,TRUE,20,17830,0.26,28105
Centipede,150,K,0,TRUE,20,12080,0.36,36166
Centipede,152,K,0,TRUE,20,12474,0.35,44306
Centipede,96,R,0,TRUE,20,17044,0.66,54081
Centipede,115,R,96,TRUE,20,16844,0.9,103616
Centipede,116,R,115,TRUE,20,16795,0.62,152967
Centipede,204,R,0,FALSE,20,16101,0.56,39737
Centipede,206,R,0,FALSE,20,15942,0.47,48055
Centipede,210,R,0,FALSE,20,16672,0.49,50496
Centipede,244,R,0,FALSE,20,15782,0.76,55932
Centipede,245,R,244,FALSE,20,15718,0.34,107644
Centipede,254,R,245,FALSE,20,16755,0.27,155828
Centipede,259,R,254,FALSE,20,16394,0.34,204294
,,,,,,,,
DemonAttack,175,R,0,FALSE,20,17605,0.26,6685
DemonAttack,200,R,0,FALSE,20,17344,0.54,7270
DemonAttack,215,R,0,FALSE,20,17120,0.32,7425
DemonAttack,220,R,0,FALSE,20,16124,0.79,5770
DemonAttack,221,R,0,FALSE,20,17165,0.58,7370
DemonAttack,189,J,0,FALSE,20,17685,0.25,6250
DemonAttack,190,J,0,FALSE,20,17440,0.69,6270
DemonAttack,255,L,0,FALSE,20,15181,0.38,4850
DemonAttack,256,L,0,FALSE,20,16766,0.45,4670
DemonAttack,257,L,0,FALSE,20,17208,0.41,5620
DemonAttack,258,L,0,FALSE,20,17636,0.61,7240
DemonAttack,262,L,0,FALSE,20,17895,0.52,10460
DemonAttack,263,L,0,FALSE,20,17738,0.61,6740
DemonAttack,265,L,0,FALSE,20,17906,0.77,8720
,,,,,,,,
Enduro,82,R,0,TRUE,20,17045,0.31,315
Enduro,84,R,0,TRUE,20,17501,0.3,319
Enduro,85,R,0,TRUE,20,17703,0.3,317
Enduro,98,R,0,TRUE,20,17786,0.41,289
Enduro,103,R,0,TRUE,20,17890,0.29,312
Enduro,108,R,0,TRUE,20,17819,0.33,322
Enduro,109,R,0,TRUE,20,17800,0.19,332
Enduro,113,R,0,TRUE,20,17859,0.3,324
Enduro,146,J,0,TRUE,20,16471,0.41,262
Enduro,148,J,0,TRUE,20,17691,0.33,340
Enduro,158,K,0,TRUE,20,17948,0.3,376
Enduro,159,K,0,TRUE,20,17959,0.31,352
Enduro,123,R,109,TRUE,20,17821,0.43,699
Enduro,124,R,123,TRUE,20,17884,0.46,1104
,,,,,,,,
Freeway,55,R,0,TRUE,20,17286,0.47,30
Freeway,59,R,0,TRUE,20,17350,0.35,33
Freeway,72,R,0,TRUE,20,17423,0.56,31
Freeway,79,R,0,TRUE,20,17614,0.56,32
Freeway,149,J,0,TRUE,20,17748,0.57,30
Freeway,151,J,0,TRUE,20,17920,0.6,32
Freeway,156,K,0,TRUE,20,17519,0.34,30
Freeway,157,K,0,TRUE,20,17797,0.42,31
,,,,,,,,
Frostbite,226,R,0,FALSE,20,17514,0.29,30240
Frostbite,227,R,0,FALSE,20,17114,0.25,30980
Frostbite,228,R,0,FALSE,20,17653,0.18,26120
Frostbite,173,J,0,FALSE,20,17599,0.59,17100
Frostbite,174,J,0,FALSE,20,17651,0.34,20930
,,,,,,,,
Hero,195,R,0,FALSE,20,14885,0.31,34305
Hero,196,R,0,FALSE,20,13788,0.66,50485
Hero,203,R,0,FALSE,20,13969,0.58,49975
Hero,216,R,0,FALSE,20,13116,0.29,43865
,,,,,,,,
Mspacman,52,R,0,TRUE,20,17652,0.35,25761
Mspacman,61,R,0,TRUE,20,17647,0.6,25611
Mspacman,64,R,0,TRUE,20,17742,0.3,24721
Mspacman,71,R,0,TRUE,20,17695,0.28,24991
Mspacman,76,R,0,TRUE,20,17780,0.64,26251
Mspacman,89,R,0,TRUE,20,17825,0.39,33441
Mspacman,91,R,0,TRUE,20,17859,0.32,24551
Mspacman,105,R,0,TRUE,20,17822,0.4,31641
Mspacman,125,J,0,TRUE,20,16229,0.59,25021
Mspacman,126,J,0,TRUE,20,17317,0.34,17441
Mspacman,131,K,0,TRUE,20,17770,0.2,20701
Mspacman,137,K,0,TRUE,20,17839,0.28,27491
Mspacman,118,R,89,TRUE,20,17814,0.34,60531
Mspacman,119,R,118,TRUE,20,10804,0.57,92610
Mspacman,199,R,0,FALSE,20,17804,0.48,27731
Mspacman,202,R,0,FALSE,20,17806,0.4,33001
Mspacman,209,R,0,FALSE,20,17832,0.6,36061
,,,,,,,,
NameThisGame,161,R,0,FALSE,20,17820,0.36,6580
NameThisGame,166,R,0,FALSE,20,17836,0.3,7760
NameThisGame,207,R,0,FALSE,20,16345,0.28,6970
NameThisGame,229,R,0,FALSE,20,16798,0.54,7100
NameThisGame,230,R,0,FALSE,20,17338,0.34,7920
,,,,,,,,
Phoenix,180,R,0,TRUE,20,17573,0.44,22410
Phoenix,184,R,0,TRUE,20,17216,0.56,24310
Phoenix,186,R,0,FALSE,20,17437,0.35,24760
Phoenix,194,R,0,FALSE,20,17510,0.2,27110
Phoenix,214,R,0,FALSE,20,17097,0.44,26550
Phoenix,234,R,0,FALSE,20,17167,0.82,27570
Phoenix,252,R,234,FALSE,20,17324,0.5,57580
,,,,,,,,
Riverraid,77,R,0,TRUE,20,16652,0.56,13330
Riverraid,81,R,0,TRUE,20,16229,0.66,11010
Riverraid,90,R,0,TRUE,20,17214,0.26,19680
Riverraid,95,R,0,TRUE,20,16929,0.25,18680
Riverraid,99,R,0,TRUE,20,17060,0.34,18370
Riverraid,102,R,0,TRUE,20,17518,0.45,21520
Riverraid,104,R,0,TRUE,20,17462,0.58,20650
Riverraid,110,R,0,TRUE,20,17611,0.26,18990
Riverraid,141,J,0,TRUE,20,17085,0.26,8380
Riverraid,142,J,0,TRUE,20,17385,0.8,16820
Riverraid,129,K,0,TRUE,20,15737,0.28,9500
Riverraid,139,K,0,TRUE,20,17075,0.26,12860
Riverraid,121,R,102,TRUE,20,16723,0.27,42130
,,,,,,,,
Seaquest,54,R,0,TRUE,20,17200,0.6,53140
Seaquest,62,R,0,TRUE,20,17357,0.25,49670
Seaquest,67,R,0,TRUE,20,17533,0.43,49220
Seaquest,70,R,0,TRUE,20,17359,0.22,57900
Seaquest,75,R,0,TRUE,20,17714,0.34,51380
Seaquest,83,R,0,TRUE,20,17571,0.27,55000
Seaquest,86,R,0,TRUE,20,17576,0.47,53590
Seaquest,87,R,0,TRUE,20,17670,0.27,45280
Seaquest,135,J,0,TRUE,20,16441,0.47,35870
Seaquest,136,J,0,TRUE,20,16251,0.34,53150
Seaquest,145,K,0,TRUE,20,17543,0.29,46750
Seaquest,147,K,0,TRUE,20,17593,0.21,54680
Seaquest,185,R,0,FALSE,20,17068,0.24,45990
Seaquest,197,R,0,FALSE,20,17393,0.24,54470
Seaquest,212,R,0,FALSE,20,17505,0.34,61700
Seaquest,235,R,0,FALSE,20,17597,0.46,54330
Seaquest,237,R,235,FALSE,20,16110,0.25,154350
Seaquest,238,R,237,FALSE,20,14267,0.2,242580
Seaquest,240,R,238,FALSE,20,12359,0.28,303510
Seaquest,241,R,240,FALSE,20,12371,0.3,378630
Seaquest,248,R,241,FALSE,20,10946,0.52,445860
,,,,,,,,
SpaceInvaders,177,R,0,FALSE,20,17289,0.49,2145
SpaceInvaders,201,R,0,FALSE,20,16594,0.46,2905
SpaceInvaders,222,R,0,FALSE,20,16213,0.37,1505
SpaceInvaders,182,J,0,TRUE,20,10668,0.52,1170
SpaceInvaders,193,J,0,FALSE,20,16924,0.43,1230
,,,,,,,,
